,Feature1,Feature2,Correlation_x,Correlation_y,_merge
1073,Ne_rho_z20,Te_rho_z48,True,,left_only
1074,Ne_rho_z20,Te_rho_z49,True,,left_only
1075,Ne_rho_z20,Te_rho_z50,True,,left_only
1076,Ne_rho_z20,Te_rho_z51,True,,left_only
1077,Ne_rho_z20,Te_rho_z52,True,,left_only
1078,Ne_rho_z20,Te_rho_z53,True,,left_only
1079,Ne_rho_z20,Te_rho_z54,True,,left_only
1080,Ne_rho_z20,Te_rho_z55,True,,left_only
1081,Ne_rho_z20,Te_rho_z56,True,,left_only
1082,Ne_rho_z20,Te_rho_z57,True,,left_only
1083,Ne_rho_z20,Te_rho_z58,True,,left_only
1084,Ne_rho_z20,Te_rho_z59,True,,left_only
1085,Ne_rho_z20,Te_rho_z60,True,,left_only
1086,Ne_rho_z20,Te_rho_z61,True,,left_only
1087,Ne_rho_z20,Te_rho_z62,True,,left_only
1088,Ne_rho_z20,Te_rho_z63,True,,left_only
1089,Ne_rho_z20,Te_rho_z64,True,,left_only
1090,Ne_rho_z20,Te_rho_z65,True,,left_only
1096,Ne_rho_z21,Ne_rho_z13,True,,left_only
1097,Ne_rho_z21,Ne_rho_z14,True,,left_only
1098,Ne_rho_z21,Ne_rho_z15,True,,left_only
1099,Ne_rho_z21,Ne_rho_z16,True,,left_only
1110,Ne_rho_z21,Ne_rho_z28,True,,left_only
1111,Ne_rho_z21,Ne_rho_z29,True,,left_only
1112,Ne_rho_z21,Ne_rho_z30,True,,left_only
1113,Ne_rho_z21,Ne_rho_z31,True,,left_only
1114,Ne_rho_z21,Ne_rho_z32,True,,left_only
1115,Ne_rho_z21,Ne_rho_z33,True,,left_only
1116,Ne_rho_z21,Ne_rho_z34,True,,left_only
1117,Ne_rho_z21,Ne_rho_z35,True,,left_only
1118,Ne_rho_z21,Ne_rho_z36,True,,left_only
1119,Ne_rho_z21,Ne_rho_z37,True,,left_only
1120,Ne_rho_z21,Ne_rho_z38,True,,left_only
1121,Ne_rho_z21,Ne_rho_z39,True,,left_only
1122,Ne_rho_z21,Ne_rho_z40,True,,left_only
1123,Ne_rho_z21,Ne_rho_z41,True,,left_only
1124,Ne_rho_z21,Ne_rho_z42,True,,left_only
1125,Ne_rho_z21,Ne_rho_z43,True,,left_only
1126,Ne_rho_z21,Ne_rho_z44,True,,left_only
1127,Ne_rho_z21,Ne_rho_z45,True,,left_only
1128,Ne_rho_z21,Ne_rho_z46,True,,left_only
1129,Ne_rho_z21,Ne_rho_z47,True,,left_only
1130,Ne_rho_z21,Ne_rho_z48,True,,left_only
1131,Ne_rho_z21,Ne_rho_z49,True,,left_only
1132,Ne_rho_z21,Ne_rho_z50,True,,left_only
1133,Ne_rho_z21,Ne_rho_z51,True,,left_only
1134,Ne_rho_z21,Ne_rho_z52,True,,left_only
1135,Ne_rho_z21,Ne_rho_z53,True,,left_only
1136,Ne_rho_z21,Ne_rho_z54,True,,left_only
1137,Ne_rho_z21,Ne_rho_z55,True,,left_only
1138,Ne_rho_z21,Ne_rho_z56,True,,left_only
1139,Ne_rho_z21,Ne_rho_z57,True,,left_only
1140,Ne_rho_z21,Ne_rho_z58,True,,left_only
1141,Ne_rho_z21,Ne_rho_z59,True,,left_only
1142,Ne_rho_z21,Ne_rho_z60,True,,left_only
1143,Ne_rho_z21,Ne_rho_z61,True,,left_only
1144,Ne_rho_z21,Ne_rho_z62,True,,left_only
1145,Ne_rho_z21,Ne_rho_z63,True,,left_only
1146,Ne_rho_z21,Ne_rho_z64,True,,left_only
1147,Ne_rho_z21,Ne_rho_z65,True,,left_only
1148,Ne_rho_z21,Ne_rho_z66,True,,left_only
1149,Ne_rho_z21,Ne_rho_z67,True,,left_only
1150,Ne_rho_z21,Te_rho_z14,True,,left_only
1151,Ne_rho_z21,Te_rho_z15,True,,left_only
1152,Ne_rho_z21,Te_rho_z16,True,,left_only
1153,Ne_rho_z21,Te_rho_z17,True,,left_only
1154,Ne_rho_z21,Te_rho_z18,True,,left_only
1155,Ne_rho_z21,Te_rho_z19,True,,left_only
1156,Ne_rho_z21,Te_rho_z20,True,,left_only
1157,Ne_rho_z21,Te_rho_z21,True,,left_only
1158,Ne_rho_z21,Te_rho_z22,True,,left_only
1159,Ne_rho_z21,Te_rho_z23,True,,left_only
1160,Ne_rho_z21,Te_rho_z24,True,,left_only
1161,Ne_rho_z21,Te_rho_z25,True,,left_only
1162,Ne_rho_z21,Te_rho_z26,True,,left_only
1163,Ne_rho_z21,Te_rho_z27,True,,left_only
1164,Ne_rho_z21,Te_rho_z28,True,,left_only
1165,Ne_rho_z21,Te_rho_z29,True,,left_only
1166,Ne_rho_z21,Te_rho_z30,True,,left_only
1167,Ne_rho_z21,Te_rho_z31,True,,left_only
1168,Ne_rho_z21,Te_rho_z32,True,,left_only
1169,Ne_rho_z21,Te_rho_z33,True,,left_only
1170,Ne_rho_z21,Te_rho_z34,True,,left_only
1171,Ne_rho_z21,Te_rho_z35,True,,left_only
1172,Ne_rho_z21,Te_rho_z36,True,,left_only
1173,Ne_rho_z21,Te_rho_z37,True,,left_only
1174,Ne_rho_z21,Te_rho_z38,True,,left_only
1175,Ne_rho_z21,Te_rho_z39,True,,left_only
1176,Ne_rho_z21,Te_rho_z40,True,,left_only
1177,Ne_rho_z21,Te_rho_z41,True,,left_only
1178,Ne_rho_z21,Te_rho_z42,True,,left_only
1179,Ne_rho_z21,Te_rho_z43,True,,left_only
1180,Ne_rho_z21,Te_rho_z44,True,,left_only
1181,Ne_rho_z21,Te_rho_z45,True,,left_only
1182,Ne_rho_z21,Te_rho_z46,True,,left_only
1183,Ne_rho_z21,Te_rho_z47,True,,left_only
1184,Ne_rho_z21,Te_rho_z48,True,,left_only
1185,Ne_rho_z21,Te_rho_z49,True,,left_only
1186,Ne_rho_z21,Te_rho_z50,True,,left_only
1187,Ne_rho_z21,Te_rho_z51,True,,left_only
1188,Ne_rho_z21,Te_rho_z52,True,,left_only
1189,Ne_rho_z21,Te_rho_z53,True,,left_only
1190,Ne_rho_z21,Te_rho_z54,True,,left_only
1191,Ne_rho_z21,Te_rho_z55,True,,left_only
1192,Ne_rho_z21,Te_rho_z56,True,,left_only
1193,Ne_rho_z21,Te_rho_z57,True,,left_only
1194,Ne_rho_z21,Te_rho_z58,True,,left_only
1195,Ne_rho_z21,Te_rho_z59,True,,left_only
1196,Ne_rho_z21,Te_rho_z60,True,,left_only
1197,Ne_rho_z21,Te_rho_z61,True,,left_only
1198,Ne_rho_z21,Te_rho_z62,True,,left_only
1199,Ne_rho_z21,Te_rho_z63,True,,left_only
1200,Ne_rho_z21,Te_rho_z64,True,,left_only
1201,Ne_rho_z21,Te_rho_z65,True,,left_only
1202,Ne_rho_z21,Te_rho_z66,True,,left_only
1203,Ne_rho_z21,Te_rho_z67,True,,left_only
1210,Ne_rho_z22,Ne_rho_z13,True,,left_only
1211,Ne_rho_z22,Ne_rho_z14,True,,left_only
1212,Ne_rho_z22,Ne_rho_z15,True,,left_only
1213,Ne_rho_z22,Ne_rho_z16,True,,left_only
1214,Ne_rho_z22,Ne_rho_z17,True,,left_only
1226,Ne_rho_z22,Ne_rho_z30,True,,left_only
1227,Ne_rho_z22,Ne_rho_z31,True,,left_only
1228,Ne_rho_z22,Ne_rho_z32,True,,left_only
1229,Ne_rho_z22,Ne_rho_z33,True,,left_only
1230,Ne_rho_z22,Ne_rho_z34,True,,left_only
1231,Ne_rho_z22,Ne_rho_z35,True,,left_only
1232,Ne_rho_z22,Ne_rho_z36,True,,left_only
1233,Ne_rho_z22,Ne_rho_z37,True,,left_only
1234,Ne_rho_z22,Ne_rho_z38,True,,left_only
1235,Ne_rho_z22,Ne_rho_z39,True,,left_only
1236,Ne_rho_z22,Ne_rho_z40,True,,left_only
1237,Ne_rho_z22,Ne_rho_z41,True,,left_only
1238,Ne_rho_z22,Ne_rho_z42,True,,left_only
1239,Ne_rho_z22,Ne_rho_z43,True,,left_only
1240,Ne_rho_z22,Ne_rho_z44,True,,left_only
1241,Ne_rho_z22,Ne_rho_z45,True,,left_only
1242,Ne_rho_z22,Ne_rho_z46,True,,left_only
1243,Ne_rho_z22,Ne_rho_z47,True,,left_only
1244,Ne_rho_z22,Ne_rho_z48,True,,left_only
1245,Ne_rho_z22,Ne_rho_z49,True,,left_only
1246,Ne_rho_z22,Ne_rho_z50,True,,left_only
1247,Ne_rho_z22,Ne_rho_z51,True,,left_only
1248,Ne_rho_z22,Ne_rho_z52,True,,left_only
1249,Ne_rho_z22,Ne_rho_z53,True,,left_only
1250,Ne_rho_z22,Ne_rho_z54,True,,left_only
1251,Ne_rho_z22,Ne_rho_z55,True,,left_only
1252,Ne_rho_z22,Ne_rho_z56,True,,left_only
1253,Ne_rho_z22,Ne_rho_z57,True,,left_only
1254,Ne_rho_z22,Ne_rho_z58,True,,left_only
1255,Ne_rho_z22,Ne_rho_z59,True,,left_only
1256,Ne_rho_z22,Ne_rho_z60,True,,left_only
1257,Ne_rho_z22,Ne_rho_z61,True,,left_only
1258,Ne_rho_z22,Ne_rho_z62,True,,left_only
1259,Ne_rho_z22,Ne_rho_z63,True,,left_only
1260,Ne_rho_z22,Ne_rho_z64,True,,left_only
1261,Ne_rho_z22,Ne_rho_z65,True,,left_only
1262,Ne_rho_z22,Ne_rho_z66,True,,left_only
1263,Ne_rho_z22,Ne_rho_z67,True,,left_only
1265,Ne_rho_z22,Te_rho_z14,True,,left_only
1266,Ne_rho_z22,Te_rho_z15,True,,left_only
1267,Ne_rho_z22,Te_rho_z16,True,,left_only
1268,Ne_rho_z22,Te_rho_z17,True,,left_only
1269,Ne_rho_z22,Te_rho_z18,True,,left_only
1270,Ne_rho_z22,Te_rho_z19,True,,left_only
1271,Ne_rho_z22,Te_rho_z20,True,,left_only
1272,Ne_rho_z22,Te_rho_z21,True,,left_only
1273,Ne_rho_z22,Te_rho_z22,True,,left_only
1274,Ne_rho_z22,Te_rho_z23,True,,left_only
1275,Ne_rho_z22,Te_rho_z24,True,,left_only
1276,Ne_rho_z22,Te_rho_z25,True,,left_only
1277,Ne_rho_z22,Te_rho_z26,True,,left_only
1278,Ne_rho_z22,Te_rho_z27,True,,left_only
1279,Ne_rho_z22,Te_rho_z28,True,,left_only
1280,Ne_rho_z22,Te_rho_z29,True,,left_only
1281,Ne_rho_z22,Te_rho_z30,True,,left_only
1282,Ne_rho_z22,Te_rho_z31,True,,left_only
1283,Ne_rho_z22,Te_rho_z32,True,,left_only
1284,Ne_rho_z22,Te_rho_z33,True,,left_only
1285,Ne_rho_z22,Te_rho_z34,True,,left_only
1286,Ne_rho_z22,Te_rho_z35,True,,left_only
1287,Ne_rho_z22,Te_rho_z36,True,,left_only
1288,Ne_rho_z22,Te_rho_z37,True,,left_only
1289,Ne_rho_z22,Te_rho_z38,True,,left_only
1290,Ne_rho_z22,Te_rho_z39,True,,left_only
1291,Ne_rho_z22,Te_rho_z40,True,,left_only
1292,Ne_rho_z22,Te_rho_z41,True,,left_only
1293,Ne_rho_z22,Te_rho_z42,True,,left_only
1294,Ne_rho_z22,Te_rho_z43,True,,left_only
1295,Ne_rho_z22,Te_rho_z44,True,,left_only
1296,Ne_rho_z22,Te_rho_z45,True,,left_only
1297,Ne_rho_z22,Te_rho_z46,True,,left_only
1298,Ne_rho_z22,Te_rho_z47,True,,left_only
1299,Ne_rho_z22,Te_rho_z48,True,,left_only
1300,Ne_rho_z22,Te_rho_z49,True,,left_only
1301,Ne_rho_z22,Te_rho_z50,True,,left_only
1302,Ne_rho_z22,Te_rho_z51,True,,left_only
1303,Ne_rho_z22,Te_rho_z52,True,,left_only
1304,Ne_rho_z22,Te_rho_z53,True,,left_only
1305,Ne_rho_z22,Te_rho_z54,True,,left_only
1306,Ne_rho_z22,Te_rho_z55,True,,left_only
1307,Ne_rho_z22,Te_rho_z56,True,,left_only
1308,Ne_rho_z22,Te_rho_z57,True,,left_only
1309,Ne_rho_z22,Te_rho_z58,True,,left_only
1310,Ne_rho_z22,Te_rho_z59,True,,left_only
1311,Ne_rho_z22,Te_rho_z60,True,,left_only
1312,Ne_rho_z22,Te_rho_z61,True,,left_only
1313,Ne_rho_z22,Te_rho_z62,True,,left_only
1314,Ne_rho_z22,Te_rho_z63,True,,left_only
1315,Ne_rho_z22,Te_rho_z64,True,,left_only
1316,Ne_rho_z22,Te_rho_z65,True,,left_only
1317,Ne_rho_z22,Te_rho_z66,True,,left_only
1318,Ne_rho_z22,Te_rho_z67,True,,left_only
1326,Ne_rho_z23,Ne_rho_z13,True,,left_only
1327,Ne_rho_z23,Ne_rho_z14,True,,left_only
1328,Ne_rho_z23,Ne_rho_z15,True,,left_only
1329,Ne_rho_z23,Ne_rho_z16,True,,left_only
1330,Ne_rho_z23,Ne_rho_z17,True,,left_only
1331,Ne_rho_z23,Ne_rho_z18,True,,left_only
1345,Ne_rho_z23,Ne_rho_z33,True,,left_only
1346,Ne_rho_z23,Ne_rho_z34,True,,left_only
1347,Ne_rho_z23,Ne_rho_z35,True,,left_only
1348,Ne_rho_z23,Ne_rho_z36,True,,left_only
1349,Ne_rho_z23,Ne_rho_z37,True,,left_only
1350,Ne_rho_z23,Ne_rho_z38,True,,left_only
1351,Ne_rho_z23,Ne_rho_z39,True,,left_only
1352,Ne_rho_z23,Ne_rho_z40,True,,left_only
1353,Ne_rho_z23,Ne_rho_z41,True,,left_only
1354,Ne_rho_z23,Ne_rho_z42,True,,left_only
1355,Ne_rho_z23,Ne_rho_z43,True,,left_only
1356,Ne_rho_z23,Ne_rho_z44,True,,left_only
1357,Ne_rho_z23,Ne_rho_z45,True,,left_only
1358,Ne_rho_z23,Ne_rho_z46,True,,left_only
1359,Ne_rho_z23,Ne_rho_z47,True,,left_only
1360,Ne_rho_z23,Ne_rho_z48,True,,left_only
1361,Ne_rho_z23,Ne_rho_z49,True,,left_only
1362,Ne_rho_z23,Ne_rho_z50,True,,left_only
1363,Ne_rho_z23,Ne_rho_z51,True,,left_only
1364,Ne_rho_z23,Ne_rho_z52,True,,left_only
1365,Ne_rho_z23,Ne_rho_z53,True,,left_only
1370,Ne_rho_z23,Ne_rho_z58,True,,left_only
1371,Ne_rho_z23,Ne_rho_z59,True,,left_only
1372,Ne_rho_z23,Ne_rho_z60,True,,left_only
1373,Ne_rho_z23,Ne_rho_z61,True,,left_only
1374,Ne_rho_z23,Ne_rho_z62,True,,left_only
1375,Ne_rho_z23,Ne_rho_z63,True,,left_only
1376,Ne_rho_z23,Ne_rho_z64,True,,left_only
1377,Ne_rho_z23,Ne_rho_z65,True,,left_only
1378,Ne_rho_z23,Ne_rho_z66,True,,left_only
1379,Ne_rho_z23,Ne_rho_z67,True,,left_only
1381,Ne_rho_z23,Te_rho_z14,True,,left_only
1382,Ne_rho_z23,Te_rho_z15,True,,left_only
1383,Ne_rho_z23,Te_rho_z16,True,,left_only
1384,Ne_rho_z23,Te_rho_z17,True,,left_only
1385,Ne_rho_z23,Te_rho_z18,True,,left_only
1386,Ne_rho_z23,Te_rho_z19,True,,left_only
1387,Ne_rho_z23,Te_rho_z20,True,,left_only
1388,Ne_rho_z23,Te_rho_z21,True,,left_only
1389,Ne_rho_z23,Te_rho_z22,True,,left_only
1390,Ne_rho_z23,Te_rho_z23,True,,left_only
1391,Ne_rho_z23,Te_rho_z24,True,,left_only
1392,Ne_rho_z23,Te_rho_z25,True,,left_only
1393,Ne_rho_z23,Te_rho_z26,True,,left_only
1394,Ne_rho_z23,Te_rho_z27,True,,left_only
1395,Ne_rho_z23,Te_rho_z28,True,,left_only
1396,Ne_rho_z23,Te_rho_z29,True,,left_only
1397,Ne_rho_z23,Te_rho_z30,True,,left_only
1398,Ne_rho_z23,Te_rho_z31,True,,left_only
1399,Ne_rho_z23,Te_rho_z32,True,,left_only
1400,Ne_rho_z23,Te_rho_z33,True,,left_only
1401,Ne_rho_z23,Te_rho_z34,True,,left_only
1402,Ne_rho_z23,Te_rho_z35,True,,left_only
1403,Ne_rho_z23,Te_rho_z36,True,,left_only
1404,Ne_rho_z23,Te_rho_z37,True,,left_only
1405,Ne_rho_z23,Te_rho_z38,True,,left_only
1406,Ne_rho_z23,Te_rho_z39,True,,left_only
1407,Ne_rho_z23,Te_rho_z40,True,,left_only
1408,Ne_rho_z23,Te_rho_z41,True,,left_only
1409,Ne_rho_z23,Te_rho_z42,True,,left_only
1410,Ne_rho_z23,Te_rho_z43,True,,left_only
1411,Ne_rho_z23,Te_rho_z44,True,,left_only
1412,Ne_rho_z23,Te_rho_z45,True,,left_only
1413,Ne_rho_z23,Te_rho_z46,True,,left_only
1414,Ne_rho_z23,Te_rho_z47,True,,left_only
1415,Ne_rho_z23,Te_rho_z48,True,,left_only
1416,Ne_rho_z23,Te_rho_z49,True,,left_only
1417,Ne_rho_z23,Te_rho_z50,True,,left_only
1418,Ne_rho_z23,Te_rho_z51,True,,left_only
1419,Ne_rho_z23,Te_rho_z52,True,,left_only
1420,Ne_rho_z23,Te_rho_z53,True,,left_only
1421,Ne_rho_z23,Te_rho_z54,True,,left_only
1422,Ne_rho_z23,Te_rho_z55,True,,left_only
1423,Ne_rho_z23,Te_rho_z56,True,,left_only
1424,Ne_rho_z23,Te_rho_z57,True,,left_only
1425,Ne_rho_z23,Te_rho_z58,True,,left_only
1426,Ne_rho_z23,Te_rho_z59,True,,left_only
1427,Ne_rho_z23,Te_rho_z60,True,,left_only
1428,Ne_rho_z23,Te_rho_z61,True,,left_only
1429,Ne_rho_z23,Te_rho_z62,True,,left_only
1430,Ne_rho_z23,Te_rho_z63,True,,left_only
1431,Ne_rho_z23,Te_rho_z64,True,,left_only
1432,Ne_rho_z23,Te_rho_z65,True,,left_only
1433,Ne_rho_z23,Te_rho_z66,True,,left_only
1434,Ne_rho_z23,Te_rho_z67,True,,left_only
1442,Ne_rho_z24,Ne_rho_z13,True,,left_only
1443,Ne_rho_z24,Ne_rho_z14,True,,left_only
1444,Ne_rho_z24,Ne_rho_z15,True,,left_only
1445,Ne_rho_z24,Ne_rho_z16,True,,left_only
1446,Ne_rho_z24,Ne_rho_z17,True,,left_only
1447,Ne_rho_z24,Ne_rho_z18,True,,left_only
1466,Ne_rho_z24,Ne_rho_z38,True,,left_only
1467,Ne_rho_z24,Ne_rho_z39,True,,left_only
1468,Ne_rho_z24,Ne_rho_z40,True,,left_only
1469,Ne_rho_z24,Ne_rho_z41,True,,left_only
1488,Ne_rho_z24,Ne_rho_z60,True,,left_only
1489,Ne_rho_z24,Ne_rho_z61,True,,left_only
1490,Ne_rho_z24,Ne_rho_z62,True,,left_only
1491,Ne_rho_z24,Ne_rho_z63,True,,left_only
1492,Ne_rho_z24,Ne_rho_z64,True,,left_only
1493,Ne_rho_z24,Ne_rho_z65,True,,left_only
1494,Ne_rho_z24,Ne_rho_z66,True,,left_only
1495,Ne_rho_z24,Ne_rho_z67,True,,left_only
1501,Ne_rho_z24,Te_rho_z18,True,,left_only
1508,Ne_rho_z24,Te_rho_z25,True,,left_only
1509,Ne_rho_z24,Te_rho_z26,True,,left_only
1510,Ne_rho_z24,Te_rho_z27,True,,left_only
1511,Ne_rho_z24,Te_rho_z28,True,,left_only
1512,Ne_rho_z24,Te_rho_z29,True,,left_only
1513,Ne_rho_z24,Te_rho_z30,True,,left_only
1514,Ne_rho_z24,Te_rho_z31,True,,left_only
1515,Ne_rho_z24,Te_rho_z32,True,,left_only
1516,Ne_rho_z24,Te_rho_z33,True,,left_only
1517,Ne_rho_z24,Te_rho_z34,True,,left_only
1518,Ne_rho_z24,Te_rho_z35,True,,left_only
1519,Ne_rho_z24,Te_rho_z36,True,,left_only
1520,Ne_rho_z24,Te_rho_z37,True,,left_only
1521,Ne_rho_z24,Te_rho_z38,True,,left_only
1522,Ne_rho_z24,Te_rho_z39,True,,left_only
1523,Ne_rho_z24,Te_rho_z40,True,,left_only
1524,Ne_rho_z24,Te_rho_z41,True,,left_only
1525,Ne_rho_z24,Te_rho_z42,True,,left_only
1526,Ne_rho_z24,Te_rho_z43,True,,left_only
1527,Ne_rho_z24,Te_rho_z44,True,,left_only
1528,Ne_rho_z24,Te_rho_z45,True,,left_only
1529,Ne_rho_z24,Te_rho_z46,True,,left_only
1530,Ne_rho_z24,Te_rho_z47,True,,left_only
1531,Ne_rho_z24,Te_rho_z48,True,,left_only
1532,Ne_rho_z24,Te_rho_z49,True,,left_only
1533,Ne_rho_z24,Te_rho_z50,True,,left_only
1534,Ne_rho_z24,Te_rho_z51,True,,left_only
1535,Ne_rho_z24,Te_rho_z52,True,,left_only
1536,Ne_rho_z24,Te_rho_z53,True,,left_only
1537,Ne_rho_z24,Te_rho_z54,True,,left_only
1538,Ne_rho_z24,Te_rho_z55,True,,left_only
1539,Ne_rho_z24,Te_rho_z56,True,,left_only
1540,Ne_rho_z24,Te_rho_z57,True,,left_only
1541,Ne_rho_z24,Te_rho_z58,True,,left_only
1542,Ne_rho_z24,Te_rho_z59,True,,left_only
1543,Ne_rho_z24,Te_rho_z60,True,,left_only
1544,Ne_rho_z24,Te_rho_z61,True,,left_only
1545,Ne_rho_z24,Te_rho_z62,True,,left_only
1546,Ne_rho_z24,Te_rho_z63,True,,left_only
1547,Ne_rho_z24,Te_rho_z64,True,,left_only
1548,Ne_rho_z24,Te_rho_z65,True,,left_only
1549,Ne_rho_z24,Te_rho_z66,True,,left_only
1550,Ne_rho_z24,Te_rho_z67,True,,left_only
1558,Ne_rho_z25,Ne_rho_z13,True,,left_only
1559,Ne_rho_z25,Ne_rho_z14,True,,left_only
1560,Ne_rho_z25,Ne_rho_z15,True,,left_only
1561,Ne_rho_z25,Ne_rho_z16,True,,left_only
1562,Ne_rho_z25,Ne_rho_z17,True,,left_only
1563,Ne_rho_z25,Ne_rho_z18,True,,left_only
1564,Ne_rho_z25,Ne_rho_z19,True,,left_only
1605,Ne_rho_z25,Ne_rho_z61,True,,left_only
1606,Ne_rho_z25,Ne_rho_z62,True,,left_only
1607,Ne_rho_z25,Ne_rho_z63,True,,left_only
1608,Ne_rho_z25,Ne_rho_z64,True,,left_only
1609,Ne_rho_z25,Ne_rho_z65,True,,left_only
1610,Ne_rho_z25,Ne_rho_z66,True,,left_only
1611,Ne_rho_z25,Ne_rho_z67,True,,left_only
1630,Ne_rho_z25,Te_rho_z29,True,,left_only
1631,Ne_rho_z25,Te_rho_z30,True,,left_only
1632,Ne_rho_z25,Te_rho_z31,True,,left_only
1633,Ne_rho_z25,Te_rho_z32,True,,left_only
1634,Ne_rho_z25,Te_rho_z33,True,,left_only
1635,Ne_rho_z25,Te_rho_z34,True,,left_only
1636,Ne_rho_z25,Te_rho_z35,True,,left_only
1637,Ne_rho_z25,Te_rho_z36,True,,left_only
1638,Ne_rho_z25,Te_rho_z37,True,,left_only
1639,Ne_rho_z25,Te_rho_z38,True,,left_only
1640,Ne_rho_z25,Te_rho_z39,True,,left_only
1641,Ne_rho_z25,Te_rho_z40,True,,left_only
1642,Ne_rho_z25,Te_rho_z41,True,,left_only
1643,Ne_rho_z25,Te_rho_z42,True,,left_only
1644,Ne_rho_z25,Te_rho_z43,True,,left_only
1645,Ne_rho_z25,Te_rho_z44,True,,left_only
1661,Ne_rho_z25,Te_rho_z60,True,,left_only
1662,Ne_rho_z25,Te_rho_z61,True,,left_only
1663,Ne_rho_z25,Te_rho_z62,True,,left_only
1664,Ne_rho_z25,Te_rho_z63,True,,left_only
1665,Ne_rho_z25,Te_rho_z64,True,,left_only
1666,Ne_rho_z25,Te_rho_z65,True,,left_only
1667,Ne_rho_z25,Te_rho_z66,True,,left_only
1668,Ne_rho_z25,Te_rho_z67,True,,left_only
1676,Ne_rho_z26,Ne_rho_z13,True,,left_only
1677,Ne_rho_z26,Ne_rho_z14,True,,left_only
1678,Ne_rho_z26,Ne_rho_z15,True,,left_only
1679,Ne_rho_z26,Ne_rho_z16,True,,left_only
1680,Ne_rho_z26,Ne_rho_z17,True,,left_only
1681,Ne_rho_z26,Ne_rho_z18,True,,left_only
1682,Ne_rho_z26,Ne_rho_z19,True,,left_only
1683,Ne_rho_z26,Ne_rho_z20,True,,left_only
1723,Ne_rho_z26,Ne_rho_z61,True,,left_only
1724,Ne_rho_z26,Ne_rho_z62,True,,left_only
1725,Ne_rho_z26,Ne_rho_z63,True,,left_only
1726,Ne_rho_z26,Ne_rho_z64,True,,left_only
1727,Ne_rho_z26,Ne_rho_z65,True,,left_only
1728,Ne_rho_z26,Ne_rho_z66,True,,left_only
1729,Ne_rho_z26,Ne_rho_z67,True,,left_only
1782,Ne_rho_z26,Te_rho_z62,True,,left_only
1783,Ne_rho_z26,Te_rho_z63,True,,left_only
1784,Ne_rho_z26,Te_rho_z64,True,,left_only
1785,Ne_rho_z26,Te_rho_z65,True,,left_only
1786,Ne_rho_z26,Te_rho_z66,True,,left_only
1787,Ne_rho_z26,Te_rho_z67,True,,left_only
1795,Ne_rho_z27,Ne_rho_z13,True,,left_only
1796,Ne_rho_z27,Ne_rho_z14,True,,left_only
1797,Ne_rho_z27,Ne_rho_z15,True,,left_only
1798,Ne_rho_z27,Ne_rho_z16,True,,left_only
1799,Ne_rho_z27,Ne_rho_z17,True,,left_only
1800,Ne_rho_z27,Ne_rho_z18,True,,left_only
1801,Ne_rho_z27,Ne_rho_z19,True,,left_only
1802,Ne_rho_z27,Ne_rho_z20,True,,left_only
1842,Ne_rho_z27,Ne_rho_z61,True,,left_only
1843,Ne_rho_z27,Ne_rho_z62,True,,left_only
1844,Ne_rho_z27,Ne_rho_z63,True,,left_only
1845,Ne_rho_z27,Ne_rho_z64,True,,left_only
1846,Ne_rho_z27,Ne_rho_z65,True,,left_only
1847,Ne_rho_z27,Ne_rho_z66,True,,left_only
1848,Ne_rho_z27,Ne_rho_z67,True,,left_only
1904,Ne_rho_z27,Te_rho_z63,True,,left_only
1905,Ne_rho_z27,Te_rho_z64,True,,left_only
1906,Ne_rho_z27,Te_rho_z65,True,,left_only
1907,Ne_rho_z27,Te_rho_z66,True,,left_only
1908,Ne_rho_z27,Te_rho_z67,True,,left_only
1915,Ne_rho_z28,Ne_rho_z13,True,,left_only
1916,Ne_rho_z28,Ne_rho_z14,True,,left_only
1917,Ne_rho_z28,Ne_rho_z15,True,,left_only
1918,Ne_rho_z28,Ne_rho_z16,True,,left_only
1919,Ne_rho_z28,Ne_rho_z17,True,,left_only
1920,Ne_rho_z28,Ne_rho_z18,True,,left_only
1921,Ne_rho_z28,Ne_rho_z19,True,,left_only
1922,Ne_rho_z28,Ne_rho_z20,True,,left_only
1923,Ne_rho_z28,Ne_rho_z21,True,,left_only
1962,Ne_rho_z28,Ne_rho_z61,True,,left_only
1963,Ne_rho_z28,Ne_rho_z62,True,,left_only
1964,Ne_rho_z28,Ne_rho_z63,True,,left_only
1965,Ne_rho_z28,Ne_rho_z64,True,,left_only
1966,Ne_rho_z28,Ne_rho_z65,True,,left_only
1967,Ne_rho_z28,Ne_rho_z66,True,,left_only
1968,Ne_rho_z28,Ne_rho_z67,True,,left_only
2024,Ne_rho_z28,Te_rho_z64,True,,left_only
2025,Ne_rho_z28,Te_rho_z65,True,,left_only
2026,Ne_rho_z28,Te_rho_z66,True,,left_only
2027,Ne_rho_z28,Te_rho_z67,True,,left_only
2035,Ne_rho_z29,Ne_rho_z13,True,,left_only
2036,Ne_rho_z29,Ne_rho_z14,True,,left_only
2037,Ne_rho_z29,Ne_rho_z15,True,,left_only
2038,Ne_rho_z29,Ne_rho_z16,True,,left_only
2039,Ne_rho_z29,Ne_rho_z17,True,,left_only
2040,Ne_rho_z29,Ne_rho_z18,True,,left_only
2041,Ne_rho_z29,Ne_rho_z19,True,,left_only
2042,Ne_rho_z29,Ne_rho_z20,True,,left_only
2043,Ne_rho_z29,Ne_rho_z21,True,,left_only
